iter	Passed	Remaining
548	21357	367668
549	21396	367627
550	21435	367591
551	21479	367642
552	21521	367652
553	21561	367633
554	21601	367621
555	21641	367588
556	21679	367544
557	21719	367512
558	21762	367549
559	21799	367480
560	21838	367434
561	21879	367428
562	21917	367373
563	21956	367348
564	21997	367335
565	22037	367318
566	22077	367288
567	22116	367259
568	22156	367233
569	22195	367195
570	22234	367163
571	22272	367113
572	22313	367094
573	22352	367070
574	22392	367047
575	22432	367022
576	22472	366995
577	22512	366976
578	22551	366935
579	22591	366909
580	22630	366876
581	22669	366841
582	22709	366815
583	22748	366778
584	22787	366746
585	22825	366688
586	22864	366650
587	22906	366652
588	22945	366623
589	22984	366576
590	23023	366543
591	23063	366524
592	23102	366484
593	23142	366460
594	23182	366443
595	23222	366415
596	23262	366390
597	23301	366353
598	23340	366310
599	23378	366270
600	23416	366214
601	23456	366193
602	23493	366121
603	23532	366081
604	23573	366065
605	23612	366030
606	23650	365976
607	23689	365939
608	23727	365893
609	23768	365873
610	23809	365869
611	23848	365839
612	23887	365800
613	23927	365767
614	23965	365713
615	24002	365650
616	24041	365610
617	24076	365515
618	24115	365472
619	24154	365430
620	24192	365385
621	24232	365352
622	24271	365316
623	24311	365298
624	24351	365277
625	24388	365208
626	24428	365179
627	24468	365158
628	24507	365123
629	24548	365109
630	24588	365085
631	24626	365033
632	24665	364991
633	24703	364943
634	24744	364938
635	24784	364902
636	24824	364878
637	24866	364885
638	24904	364840
639	24943	364793
640	24981	364750
641	25021	364725
642	25060	364685
643	25101	364669
644	25138	364608
645	25178	364581
646	25217	364549
647	25256	364505
648	25296	364481
649	25334	364431
650	25373	364382
651	25412	364343
652	25450	364303
653	25489	364254
654	25527	364198
655	25567	364178
656	25603	364102
657	25642	364054
658	25681	364015
659	25720	363979
660	25760	363952
661	25798	363911
662	25837	363867
663	25875	363813
664	25913	363769
665	25951	363709
666	25990	363672
667	26030	363645
668	26068	363592
669	26106	363540
670	26145	363500
671	26182	363438
672	26220	363389
673	26259	363342
674	26297	363292
675	26334	363226
676	26372	363177
677	26411	363138
678	26450	363098
679	26490	363072
680	26529	363030
681	26567	362983
682	26605	362939
683	26643	362877
684	26681	362829
685	26719	362775
686	26755	362701
687	26793	362645
688	26832	362609
689	26871	362570
690	26910	362526
691	26949	362490
692	26987	362446
693	27026	362402
694	27060	362304
695	27102	362301
696	27141	362268
697	27180	362230
698	27219	362188
699	27257	362138
700	27296	362093
701	27332	362025
702	27371	361980
703	27409	361935
704	27448	361888
705	27485	361834
706	27523	361779
707	27565	361781
708	27605	361749
709	27643	361702
710	27685	361703
711	27724	361666
712	27764	361641
713	27804	361612
714	27843	361582
715	27882	361536
716	27922	361508
717	27959	361442
718	27998	361413
719	28038	361389
720	28080	361386
721	28118	361328
722	28157	361295
723	28196	361257
724	28234	361212
725	28274	361183
726	28314	361158
727	28352	361111
728	28391	361067
729	28431	361043
730	28472	361022
731	28511	360988
732	28549	360943
733	28589	360909
734	28628	360870
735	28668	360851
736	28709	360830
737	28748	360795
738	28787	360758
739	28826	360716
740	28864	360674
741	28903	360628
742	28943	360599
743	28981	360556
744	29022	360536
745	29062	360510
746	29101	360476
747	29141	360446
748	29179	360396
749	29218	360364
750	29256	360312
751	29295	360270
752	29336	360256
753	29375	360216
754	29415	360189
755	29450	360110
756	29490	360080
757	29531	360063
758	29571	360040
759	29608	359975
760	29645	359911
761	29684	359874
762	29724	359848
763	29764	359823
764	29804	359796
765	29844	359769
766	29884	359738
767	29922	359688
768	29960	359643
769	29999	359599
770	30037	359549
771	30077	359523
772	30116	359492
773	30156	359458
774	30194	359414
775	30233	359372
776	30273	359344
777	30312	359303
778	30348	359234
779	30388	359203
780	30428	359179
781	30466	359127
782	30504	359084
783	30543	359042
784	30583	359010
785	30622	358972
786	30661	358937
787	30698	358880
788	30737	358837
789	30776	358796
790	30815	358755
791	30853	358707
792	30891	358665
793	30929	358606
794	30968	358571
795	31011	358574
796	31050	358542
797	31092	358539
798	31131	358496
799	31170	358457
800	31208	358412
801	31247	358367
802	31284	358306
803	31324	358280
804	31363	358250
805	31405	358237
806	31443	358190
807	31482	358156
808	31520	358103
809	31559	358061
810	31597	358009
811	31635	357968
